Sample in Buffer,Sample in Window,TRIGGER,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tready,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tready,axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/n_0_0,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tready
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
100,100,0,e3a3e3a3e3a3e3a3,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ee44ee44ee44e,ff,1,0,0,1
101,101,0,e3a3e3a3e3a3e3a3,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ee44ee44ee44e,ff,1,0,0,1
102,102,0,e3a3e3a3e3a3e3a3,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ee44ee44ee44e,ff,1,0,0,1
103,103,0,e3a3e3a3e3a3e3a3,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ee44ee44ee44e,ff,1,0,0,1
104,104,0,e3a3e3a3e3a3e3a3,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ee44ee44ee44e,ff,1,0,0,1
105,105,0,e3a3e3a3e3a3e3a3,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ee44ee44ee44e,ff,1,0,0,1
106,106,0,e3a3e3a3e3a3e3a3,1f,1,1,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ee44ee44ee44e,ff,1,0,0,1
107,107,0,0000222200000000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ee44ee44ee44e,ff,1,0,0,1
108,108,0,e3a44f0011110000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ee44ee44ee44e,ff,1,0,0,1
109,109,0,e3a4e3a4e3a4e3a4,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ee44ee44ee44e,1f,1,1,0,1
110,110,0,e3a4e3a4e3a4e3a4,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,0000222200000000,ff,1,0,0,1
111,111,0,e3a4e3a4e3a4e3a4,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44f4f0011110000,ff,1,0,0,1
112,112,0,e3a4e3a4e3a4e3a4,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44fe44fe44fe44f,ff,1,0,0,0
113,113,0,e3a4e3a4e3a4e3a4,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44fe44fe44fe44f,ff,1,0,0,0
114,114,0,e3a4e3a4e3a4e3a4,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44fe44fe44fe44f,ff,1,0,0,0
