Sample in Buffer,Sample in Window,TRIGGER,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tready,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tready,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tlast,Interface_(i4:s0)_(s_axis_tx_0_1)[2:0],Interface_(i4:s1)_(mac_phy_ch0_m_axis_rx)[2:0],Interface_(i4:s2)_(s_axis_tx_1_1)[2:0],Interface_(i4:s3)_(mac_phy_ch1_m_axis_rx)[2:0],T_Channel_(i4:s0)_(s_axis_tx_0_1)[2:0],T_Channel_(i4:s1)_(mac_phy_ch0_m_axis_rx)[2:0],T_Channel_(i4:s2)_(s_axis_tx_1_1)[2:0],T_Channel_(i4:s3)_(mac_phy_ch1_m_axis_rx)[2:0]
1795,1795,0,1861186118611861,ff,0,1,1,0,185e185e185e185e,ff,0,1,0,1865186518651865,ff,0,1,1,0,1862186218621862,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
1796,1796,0,1861186118611861,ff,0,1,1,0,185e185e185e185e,ff,0,1,0,1865186518651865,ff,0,1,1,0,000393e7e8621862,07,1,1,1,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Last Stream"
1797,1797,0,1861186118611861,ff,0,1,1,0,185e185e185e185e,ff,0,1,0,1865186518651865,ff,0,1,1,0,0000000000000000,01,0,0,0,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
1798,1798,0,1861186118611861,ff,0,1,1,0,185e185e185e185e,ff,0,1,0,1865186518651865,07,0,1,1,1,0000000000000000,01,0,0,0,"Active","Active","Active","_","Stream Beat","Stream Beat","Last Stream","_"
1799,1799,0,1861186118611861,ff,0,1,1,0,00fb583ef15e185e,07,1,1,1,0000222200000000,ff,0,1,1,0,0000222200000000,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Last Stream","Stream Beat","Stream Beat"
1800,1800,0,00c289d130611861,07,0,1,1,1,5555550000000000,01,0,0,0,18667d0011110000,ff,0,1,1,0,18637d0011110000,ff,0,1,0,"Active","_","Active","Active","Last Stream","_","Stream Beat","Stream Beat"
1801,1801,0,0000333300000000,ff,0,1,1,0,5555550000000000,01,0,0,0,1866186618661866,ff,0,1,1,0,1863186318631863,ff,0,1,0,"Active","_","Active","Active","Stream Beat","_","Stream Beat","Stream Beat"
1802,1802,0,18627d0011110000,ff,0,1,1,0,0000333300000000,ff,0,1,0,1866186618661866,ff,0,1,1,0,1863186318631863,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
1803,1803,0,1862186218621862,ff,0,1,1,0,185f7d0011110000,ff,0,1,0,1866186618661866,ff,0,1,0,0,1863186318631863,ff,0,1,0,"Active","Active","_","Active","Stream Beat","Stream Beat","_","Stream Beat"
1804,1804,0,1862186218621862,ff,0,1,1,0,185f185f185f185f,ff,0,1,0,1866186618661866,ff,0,1,0,0,1863186318631863,ff,0,1,0,"Active","Active","_","Active","Stream Beat","Stream Beat","_","Stream Beat"
1805,1805,0,1862186218621862,ff,0,1,0,0,185f185f185f185f,ff,0,1,0,1866186618661866,ff,0,1,0,0,1863186318631863,ff,0,1,0,"_","Active","_","Active","_","Stream Beat","_","Stream Beat"
1806,1806,0,1862186218621862,ff,0,1,0,0,185f185f185f185f,ff,0,1,0,1866186618661866,ff,0,1,1,0,1863186318631863,ff,0,1,0,"_","Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat"
